[ 2017-06-03T09:51:47+08:00 ] 14.30.111.184 /ScoreBoard/app.php/Home/Show/pk_show
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000014s ]
INFO: [ app_init ] --END-- [ RunTime:0.000254s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.010213s ]
INFO: [ app_begin ] --END-- [ RunTime:0.010259s ]
SQL: SHOW COLUMNS FROM `pk` [ RunTime:0.0011s ]
SQL: SELECT * FROM `pk` WHERE `state` >= 1  [ RunTime:0.0057s ]
SQL: SHOW COLUMNS FROM `team` [ RunTime:0.0020s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 1  [ RunTime:0.0028s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 4  [ RunTime:0.0014s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 1  [ RunTime:0.0013s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 3  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 2  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 4  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 2  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 3  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 2  [ RunTime:0.0018s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 1  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 1  [ RunTime:0.0014s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 3  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 2  [ RunTime:0.0020s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 3  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 3  [ RunTime:0.0020s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 4  [ RunTime:0.0014s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 122  [ RunTime:0.0022s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 143  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 197  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 93  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 232  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 336  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 297  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 291  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 231  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 229  [ RunTime:0.0013s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 252  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 227  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 332  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 77  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 309  [ RunTime:0.0018s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 163  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 330  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 106  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 142  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 99  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 212  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 145  [ RunTime:0.0014s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 330  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 77  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 150  [ RunTime:0.0013s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 51  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 330  [ RunTime:0.0017s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 294  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 183  [ RunTime:0.0011s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 275  [ RunTime:0.0018s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 266  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 345  [ RunTime:0.0023s ]
NOTIC: [8] Undefined offset: 0 /var/www/ScoreBoard/App/Home/Controller/ShowController.class.php 第 80 行.
NOTIC: [8] Undefined offset: 0 /var/www/ScoreBoard/App/Home/Controller/ShowController.class.php 第 81 行.
SQL: SELECT * FROM `team` WHERE `t_id` = 250  [ RunTime:0.0022s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 67  [ RunTime:0.0019s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 135  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 62  [ RunTime:0.0018s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 330  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 227  [ RunTime:0.0023s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 239  [ RunTime:0.0010s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 122  [ RunTime:0.0014s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 237  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 321  [ RunTime:0.0019s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 298  [ RunTime:0.0016s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 190  [ RunTime:0.0018s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 64  [ RunTime:0.0015s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 75  [ RunTime:0.0022s ]
SQL: SELECT * FROM `team` WHERE `t_id` = 175  [ RunTime:0.0013s ]
